2026-05-15 14:09:41,781 [INFO] ────────────────────────────────────────────────────────────
2026-05-15 14:09:41,783 [INFO] retag started  |  mode=DRY RUN
2026-05-15 14:10:13,154 [INFO] [10/142] 114f8179-bb46-49d1-ab11-a52145c8fbc4: subject_tags ['community', 'education', 'event', 'leadership', 'technology'] → ['Education', 'Event', 'In-person', 'Open to All', 'Project Management'] | target_group ['cambodians_only', 'open_to_all'] → ['Open to All']
2026-05-15 14:10:16,159 [INFO] [11/142] c7374077-8e3d-4a3c-8da4-426f874eea63: subject_tags ['community', 'education', 'event'] → ['Community Organizing', 'Education', 'Environment & Sustainability', 'Event', 'In-person', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:10:26,320 [INFO] [12/142] 5bc599b3-7ccc-4938-8ba2-f0b5fd130c9a: subject_tags ['competition', 'education', 'event', 'technology'] → ['Community Organizing', 'Education', 'Event', 'In-person', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:10:31,677 [INFO] [13/142] 5609b49e-9718-4d1d-b1ef-37d790ea3095: subject_tags ['course', 'data science', 'technology'] → ['Course', 'Data & Mathematics', 'Online', 'Professional', 'Project Management', 'Recent Graduate', 'Undergraduate'] | target_group ['null'] → []
2026-05-15 14:10:34,612 [INFO] [14/142] bab13b03-4f7f-4edf-9d0b-c74384107f7f: subject_tags ['arts', 'course', 'education', 'music', 'research', 'scholarship'] → ['Education', 'Exchange Program', 'Fellowship', 'In-person', 'Open to All', 'Professional', 'Recent Graduate', 'Undergraduate'] | target_group ['cambodians_only', 'graduates', 'open_to_all', 'professionals', 'university_students'] → ['Open to All', 'Professional', 'Recent Graduate', 'Undergraduate']
2026-05-15 14:10:38,240 [INFO] [15/142] 95697965-7dc9-483a-977c-dcd711fabf28: subject_tags ['entrepreneurship', 'technology', 'youth'] → ['Community Organizing', 'Entrepreneurship', 'Event', 'In-person', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:10:41,506 [INFO] [16/142] 11332c21-11cb-4ec8-906f-446753109a08: subject_tags ['community', 'leadership', 'startup', 'technology'] → ['AI & Machine Learning', 'E-commerce', 'Entrepreneurship', 'Environment & Sustainability', 'Event', 'Hybrid', 'Professional', 'Project Management', 'Youth (Under 18)'] | target_group ['professionals', 'team_required', 'youth'] → ['Professional', 'Youth (Under 18)']
2026-05-15 14:10:44,668 [INFO] [17/142] 1e3c8c80-2dd7-4749-a773-6ea663324821: subject_tags ['community', 'education', 'leadership', 'technology'] → ['Competition & Hackathon', 'Education', 'Event', 'High School Student', 'In-person', 'Undergraduate', 'Youth (Under 18)'] | target_group ['high_school', 'university_students'] → ['High School Student', 'Undergraduate']
2026-05-15 14:10:47,732 [INFO] [18/142] 5dea9ea3-1178-4ce4-ae8e-675de11526b1: subject_tags ['competition', 'education', 'innovation'] → ['AI & Machine Learning', 'Competition & Hackathon', 'Education', 'Environment & Sustainability', 'Event', 'High School Student', 'Management', 'Marketing & Social Media', 'Open to All', 'Project Management', 'Software Development', 'Undergraduate', 'Web Development', 'Youth (Under 18)'] | target_group ['high_school', 'university_students'] → ['High School Student', 'Undergraduate']
2026-05-15 14:10:50,842 [INFO] [19/142] cfb5057a-f730-4dfb-942c-6c5e3f4ebf47: subject_tags ['community', 'education', 'leadership', 'technology'] → ['Competition & Hackathon', 'Education', 'Event', 'High School Student', 'In-person', 'Undergraduate', 'Youth (Under 18)'] | target_group ['high_school', 'university_students'] → ['High School Student', 'Undergraduate']
2026-05-15 14:10:53,881 [INFO] [20/142] 0ffd7c1d-0c16-4dfe-8852-44610f3b2c6f: subject_tags ['education', 'scholarship'] → ['Education', 'Fellowship', 'Open to All', 'Undergraduate'] | target_group ['cambodians_only', 'university_students'] → ['Undergraduate']
2026-05-15 14:10:56,838 [INFO] [21/142] 036e9016-2802-4759-a1a9-1e513f939a1b: subject_tags ['government', 'job'] → ['In-person', 'Internship', 'Open to All'] | target_group ['cambodians_only'] → []
2026-05-15 14:11:00,097 [INFO] [22/142] b60d623e-e85a-460d-bb71-d0168deb4286: subject_tags ['arts', 'community', 'education'] → ['Community Development', 'Event', 'Graphic Design', 'In-person', 'Open to All', 'Public Speaking', 'Social Work'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:11:03,348 [INFO] [23/142] 101de12e-ad40-4f92-ae4b-32e50428e097: subject_tags ['course', 'technology'] → ['AI & Machine Learning', 'Cloud Computing', 'Course', 'In-person', 'Software Development', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:11:06,480 [INFO] [24/142] 9f6dd78f-12b5-4c55-bc44-82dbf47dda4f: subject_tags ['government', 'internship', 'technology'] → ['In-person', 'Internship', 'Management', 'Professional', 'Public Policy', 'Recent Graduate', 'Software Development', 'Undergraduate', 'Web Development'] | target_group ['null'] → []
2026-05-15 14:11:10,475 [INFO] [25/142] 28f58949-0052-4d81-9e40-fbc24b94cae7: subject_tags ['course', 'technology'] → ['Course', 'Mobile Development', 'Online', 'Professional', 'Recent Graduate', 'Software Development', 'Undergraduate'] | target_group ['graduates', 'professionals', 'university_students'] → ['Professional', 'Recent Graduate', 'Undergraduate']
2026-05-15 14:11:13,372 [INFO] [26/142] 416593f9-87ee-479e-aaf8-374dda4fa00e: subject_tags ['course', 'technology'] → ['Course', 'Mobile Development', 'Online', 'Professional', 'Recent Graduate', 'Software Development', 'Undergraduate', 'Web Development'] | target_group ['null'] → []
2026-05-15 14:11:16,328 [INFO] [27/142] b984451a-a095-4b09-88b9-ffc6c37e8518: subject_tags ['course', 'education', 'technology'] → ['Cloud Computing', 'Course', 'Online', 'Open to All', 'Software Development', 'Web Development'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:11:20,825 [INFO] [28/142] 99ff34d7-75d5-4159-ae69-96c3fab08698: subject_tags ['job', 'technology'] → ['Electrical Engineering', 'In-person', 'Industrial Engineering', 'Internship', 'Management', 'Mechanical Engineering', 'Professional'] | target_group ['professionals'] → ['Professional']
2026-05-15 14:11:25,244 [INFO] [29/142] 6f8a5d6a-7074-4b42-9ddf-01c871247dbc: subject_tags ['business', 'course', 'technology'] → ['Course', 'Data & Mathematics', 'Management', 'Online', 'Professional', 'Project Management'] | target_group ['professionals'] → ['Professional']
2026-05-15 14:11:29,471 [INFO] [30/142] 6cd06c8e-a2a2-48d4-93a1-ec3144694f0d: subject_tags ['business', 'course', 'data', 'technology'] → ['Course', 'Data & Mathematics', 'Open to All', 'Self-Paced', 'Web Development'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:11:32,295 [INFO] [31/142] b85408db-41e0-4848-bd77-54d4747b651d: subject_tags ['education', 'event', 'scholarship'] → ['Education', 'Event', 'Online', 'Undergraduate'] | target_group ['university_students'] → ['Undergraduate']
2026-05-15 14:11:35,398 [INFO] [32/142] 11aa1178-e0a7-41cc-9a69-23c0b2e05e64: subject_tags ['event', 'technology'] → ['AI & Machine Learning', 'Cloud Computing', 'Cybersecurity', 'Data & Mathematics', 'Event', 'Mobile Development', 'Online', 'Open to All', 'Project Management', 'Software Development', 'Web Development'] | target_group ['null'] → []
2026-05-15 14:11:38,304 [INFO] [33/142] ffb13f89-a242-4403-9a3b-e26a91705aca: subject_tags ['community', 'event', 'technology'] → ['Event', 'In-person', 'Management', 'Open to All', 'Professional', 'Project Management'] | target_group ['null'] → []
2026-05-15 14:11:41,634 [INFO] [34/142] 5d7e0501-0960-4647-92b0-ebb3f8170c22: subject_tags ['data', 'environment', 'media', 'training'] → ['Course', 'Data & Mathematics', 'Environment & Sustainability', 'Event Planning', 'In-person', 'Journalism', 'Professional'] | target_group ['professionals'] → ['Professional']
2026-05-15 14:11:44,425 [INFO] [35/142] 07a33c87-b605-4cd1-958b-10ed1a9fbc82: subject_tags ['event', 'seminar', 'technology'] → ['Data & Mathematics', 'Environment & Sustainability', 'Event', 'In-person', 'Open to All'] | target_group ['null'] → []
2026-05-15 14:11:48,027 [INFO] [36/142] aaf408ec-5ebf-4842-8275-e46874ef6a58: subject_tags ['career development', 'data science', 'technology'] → ['Course', 'Data & Mathematics', 'Online', 'Open to All'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:11:50,823 [INFO] [37/142] 57cfe4ca-e8f5-4e8c-b3a6-28d3bd94a767: subject_tags ['business', 'course', 'data_analysis', 'technology'] → ['Course', 'Data & Mathematics', 'Online', 'Professional'] | target_group ['professionals', 'students'] → ['Professional']
2026-05-15 14:11:53,607 [INFO] [38/142] 58a8c398-8735-41e1-8c10-4b9000114ca3: subject_tags ['business', 'course', 'technology'] → ['Course', 'Data & Mathematics', 'Online', 'Postgraduate', 'Professional', 'Recent Graduate', 'Undergraduate'] | target_group ['null'] → []
2026-05-15 14:11:56,629 [INFO] [39/142] 1219803c-d81a-42e5-bf66-af9b24d47b9c: subject_tags ['community', 'event', 'leadership', 'women'] → ['Community Development', 'Education', 'Event', 'In-person', 'Law', 'Open to All', 'Public Policy', 'Women in STEM'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:00,721 [INFO] [40/142] cd1f8898-60cd-49d4-ab6d-285ccd8e0155: subject_tags ['education', 'event', 'leadership'] → ['Education', 'Event', 'In-person', 'Management', 'Open to All', 'Public Speaking', 'Tourism & Hospitality'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:04,101 [INFO] [41/142] 2ce476c0-526a-4022-9922-e52b668be308: subject_tags ['culture', 'education', 'event', 'sports'] → ['Education', 'Event', 'Event Planning', 'Hybrid', 'In-person', 'Open to All', 'Public Speaking', 'Sociology'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:07,408 [INFO] [42/142] 155fa667-c2ba-4e58-b9c5-380f3feb4261: subject_tags ['education', 'event', 'sports'] → ['Community Organizing', 'Education', 'Event', 'In-person', 'Open to All', 'Tourism & Hospitality'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:10,227 [INFO] [43/142] c848a9de-3dcc-4d70-b073-cf50185de37f: subject_tags ['business', 'leadership', 'seminar'] → ['Event', 'In-person', 'Management', 'Open to All', 'Project Management'] | target_group ['null'] → []
2026-05-15 14:12:13,773 [INFO] [44/142] 665b1de6-53e6-48d1-acf3-f42f2a03a521: subject_tags ['education', 'history', 'leadership', 'technology'] → ['Education', 'Event', 'In-person', 'Management', 'Open to All', 'Public Policy'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:16,542 [INFO] [45/142] c0ff5afe-cad4-44df-863d-f67b06704ff8: subject_tags ['null'] → ['Event', 'In-person', 'Open to All'] | target_group ['null'] → []
2026-05-15 14:12:19,397 [INFO] [46/142] 3cbc191a-738c-4d2e-970c-86ca3d9ca3dd: subject_tags ['education', 'event', 'seminar', 'training'] → ['Education', 'Event', 'In-person', 'Online', 'Open to All', 'Project Management'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:22,942 [INFO] [47/142] 1f405f71-26c5-4bcc-b882-fd1994dd09a0: subject_tags ['community', 'event', 'internship', 'leadership'] → ['Event', 'Human Resources', 'In-person', 'Internship', 'Project Management', 'Undergraduate', 'Youth (Under 18)'] | target_group ['cambodians_only', 'university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:12:25,851 [INFO] [48/142] 285f878f-4d5f-40c2-91fe-e5b079e9f4ee: subject_tags ['community', 'event', 'media'] → ['Community Organizing', 'Event', 'Film & Media', 'In-person', 'Open to All'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:12:28,597 [INFO] [49/142] ae499cb6-f633-4c7b-a084-73296706853a: subject_tags ['event', 'scholarship', 'study_abroad'] → ['Education', 'Event', 'In-person', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:12:33,885 [INFO] [50/142] b0d0bfeb-9020-4e54-8ede-6e6822ddf39b: subject_tags ['education', 'event', 'study_abroad'] → ['Education', 'Event', 'Exchange Program', 'In-person', 'Undergraduate', 'Youth (Under 18)'] | target_group ['university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:12:37,359 [INFO] [51/142] ce32e07f-8516-4e8c-89c4-471ed414b6c8: subject_tags ['education', 'study abroad'] → ['Education', 'Event', 'Online', 'Open to All'] | target_group ['students'] → []
2026-05-15 14:12:41,094 [INFO] [52/142] 51ab3e24-f994-4142-a074-2874961ae758: subject_tags ['education', 'event', 'media', 'scholarship'] → ['Education', 'Event', 'Film & Media', 'In-person', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:12:45,055 [INFO] [53/142] 2a161a61-ee93-4a41-b170-2a84fa6fd4f4: subject_tags ['education', 'event', 'study abroad'] → ['Education', 'Event', 'In-person', 'Marketing & Social Media', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:12:48,387 [INFO] [54/142] d14665d5-a322-44a1-8626-95da5fee89db: subject_tags ['internship', 'job'] → ['E-commerce', 'Human Resources', 'Internship', 'Management', 'Online', 'Open to All', 'Professional'] | target_group ['null'] → []
2026-05-15 14:12:51,258 [INFO] [55/142] 13dfd4e8-0f56-46ab-880a-b0a7c3586393: subject_tags ['community', 'finance', 'health', 'internship', 'job'] → ['Agriculture', 'Finance', 'Human Resources', 'In-person', 'Internship', 'Management', 'Postgraduate', 'Professional', 'Project Management', 'Public Health', 'Recent Graduate', 'Undergraduate'] | target_group ['cambodians_only'] → []
2026-05-15 14:12:54,681 [INFO] [56/142] b08340ca-c158-4259-9e8e-dc3503184071: subject_tags ['business', 'internship', 'job'] → ['Electrical Engineering', 'Human Resources', 'In-person', 'Internship', 'Logistics & Supply Chain', 'Management', 'Marketing', 'Mechanical Engineering', 'Project Management', 'Undergraduate'] | target_group ['cambodians_only', 'university_students'] → ['Undergraduate']
2026-05-15 14:12:58,781 [INFO] [57/142] 3886f10f-cba9-4d28-9e8e-642a476442ec: subject_tags ['internship'] → ['Civil Engineering', 'Human Resources', 'In-person', 'Internship', 'Management', 'Marketing', 'Marketing & Social Media', 'Undergraduate'] | target_group ['university_students'] → ['Undergraduate']
2026-05-15 14:13:01,598 [INFO] [58/142] eeef3ae1-6efc-41b3-b185-8626acb42553: subject_tags ['business', 'internship'] → ['Accounting', 'In-person', 'Internship', 'Undergraduate'] | target_group ['cambodians_only', 'university_students'] → ['Undergraduate']
2026-05-15 14:13:04,409 [INFO] [59/142] f2aa38bc-f92a-4820-b7b0-ceb34aabd168: subject_tags ['business', 'internship', 'technology'] → ['AI & Machine Learning', 'In-person', 'Internship', 'UI/UX Design', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:13:07,406 [INFO] [60/142] 8ccad02c-5a5e-4cda-b4a8-d6442f87cfa8: subject_tags ['internship', 'leadership', 'training'] → ['Education', 'In-person', 'Internship', 'Management', 'Project Management', 'Undergraduate', 'Youth (Under 18)'] | target_group ['cambodians_only', 'university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:13:10,716 [INFO] [61/142] f24aeb36-09d5-4b4a-89e7-3843a57cfddd: subject_tags ['business', 'internship', 'job'] → ['Agriculture', 'In-person', 'Internship', 'Logistics & Supply Chain', 'Management', 'Recent Graduate', 'Undergraduate'] | target_group ['graduates', 'youth'] → ['Recent Graduate', 'Youth (Under 18)']
2026-05-15 14:13:13,621 [INFO] [62/142] 05390df2-715e-4437-9799-7c28a606bc88: subject_tags ['business', 'internship', 'technology'] → ['E-commerce', 'In-person', 'Internship', 'Management', 'Marketing', 'Project Management', 'Software Development', 'Tourism & Hospitality', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:13:16,433 [INFO] [63/142] e475cfe1-724a-4b0c-a82f-1dbd9c8ce84d: subject_tags ['business', 'internship', 'marketing', 'media', 'technology'] → ['Accounting', 'In-person', 'Internship', 'Marketing', 'Marketing & Social Media', 'Software Development', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:13:19,304 [INFO] [64/142] b747595b-7fd0-4f36-a9db-0d987f634295: subject_tags ['communications', 'internship', 'media'] → ['Event Planning', 'In-person', 'Internship', 'Journalism', 'Marketing', 'Professional', 'Project Management', 'Public Speaking', 'Recent Graduate', 'Undergraduate', 'Writing & Translation'] | target_group ['cambodians_only'] → []
2026-05-15 14:13:22,501 [INFO] [65/142] 8317c017-8899-47b4-b45e-4a11ff95e251: subject_tags ['business', 'job', 'technology'] → ['In-person', 'Internship', 'Management', 'Mobile Development', 'Professional', 'Project Management', 'Public Policy', 'Recent Graduate', 'Software Development', 'Undergraduate', 'Web Development'] | target_group ['cambodians_only'] → []
2026-05-15 14:13:26,178 [INFO] [66/142] d03bc7a6-b48f-4237-be9f-9f3f5515ccdc: subject_tags ['arts', 'competition', 'design'] → ['Competition & Hackathon', 'Entrepreneurship', 'Graphic Design', 'Marketing & Social Media', 'Online', 'Open to All'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:13:29,196 [INFO] [67/142] 1f31e961-73a7-487f-bbd5-1f887ff2c086: subject_tags ['business', 'course', 'entrepreneurship', 'leadership'] → ['Course', 'Entrepreneurship', 'Hybrid', 'Marketing & Social Media', 'Project Management', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:13:32,437 [INFO] [68/142] b199ddc2-041e-4c01-8b35-e0273f261e78: subject_tags ['education', 'event', 'scholarship'] → ['Education', 'Event', 'High School Student', 'Online', 'Undergraduate', 'Youth (Under 18)'] | target_group ['cambodians_only', 'high_school', 'university_students', 'youth'] → ['High School Student', 'Undergraduate', 'Youth (Under 18)']
2026-05-15 14:13:35,937 [INFO] [69/142] c5c8c505-0c51-4411-a056-a2956b0fa3f3: subject_tags ['education', 'event', 'seminar', 'technology'] → ['AI & Machine Learning', 'Agriculture', 'Architecture', 'Biology', 'Chemistry', 'Civil Engineering', 'Cloud Computing', 'Cybersecurity', 'Data & Mathematics', 'Education', 'Electrical Engineering', 'Environment & Sustainability', 'Event', 'In-person', 'Industrial Engineering', 'Mechanical Engineering', 'Medicine', 'Mobile Development', 'Nursing', 'Public Health', 'Software Development', 'UI/UX Design', 'Undergraduate', 'Web Development', 'Youth (Under 18)'] | target_group ['university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:13:38,875 [INFO] [70/142] a9e2013c-daaa-4e44-a38e-83d3c3f25c42: subject_tags ['consultation', 'education'] → ['Education', 'Event', 'In-person', 'Undergraduate', 'Youth (Under 18)'] | target_group ['university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:13:41,782 [INFO] [71/142] a41da5bc-8de1-4675-98b6-74dd2b94ed7b: subject_tags ['education', 'event', 'scholarship', 'seminar'] → ['Education', 'Event', 'In-person', 'Open to All'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:13:44,771 [INFO] [72/142] 3d3a1ba2-1cb2-4569-990e-b4695f51c42c: subject_tags ['education'] → ['Event', 'Online', 'Open to All'] | target_group ['null'] → []
2026-05-15 14:13:47,571 [INFO] [73/142] 1a0bc340-23e7-4f73-a423-8911865bf9a8: subject_tags ['education'] → ['Event', 'High School Student', 'In-person'] | target_group ['high_school'] → ['High School Student']
2026-05-15 14:13:50,503 [INFO] [74/142] 7299ddca-5574-48b1-ab37-a1e51e952bb0: subject_tags [] → ['Event', 'Online', 'Open to All']
2026-05-15 14:13:53,285 [INFO] [75/142] 09e4f0ec-81fa-4e2f-9203-1f343c3f8f2e: subject_tags ['arts', 'competition', 'education', 'geography', 'history', 'mathematics', 'scholarship', 'science'] → ['Competition & Hackathon', 'Education', 'Event', 'Fellowship', 'In-person', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:13:56,430 [INFO] [76/142] 8ac78755-4b59-4a45-ba29-2a78cc7a89e2: subject_tags ['community', 'education', 'leadership', 'volunteer'] → ['Community Development', 'Education', 'In-person', 'Marketing & Social Media', 'Project Management', 'Volunteering', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:13:59,802 [INFO] [77/142] ffd0dee1-7822-4cdf-a6a6-fbf32002a767: subject_tags ['media', 'technology'] → ['Film & Media', 'Graphic Design', 'In-person', 'Internship', 'Marketing & Social Media', 'Professional', 'Recent Graduate', 'Undergraduate', 'Web Development'] | target_group ['null'] → []
2026-05-15 14:14:02,707 [INFO] [78/142] 3f4689c0-c059-42c0-b826-26b463297865: subject_tags ['business', 'communication', 'marketing', 'media'] → ['In-person', 'Internship', 'Marketing', 'Marketing & Social Media', 'Open to All'] | target_group ['null'] → []
2026-05-15 14:14:05,773 [INFO] [79/142] 9ef8d337-1b64-4254-85a7-f37ba69a2bd5: subject_tags ['business', 'innovation', 'leadership', 'media', 'volunteer', 'youth'] → ['Community Organizing', 'Education', 'Event Planning', 'Hybrid', 'Marketing & Social Media', 'Project Management', 'Volunteering', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:14:08,588 [INFO] [80/142] 8c04c9ba-9dc1-4769-9c69-66b9350f7b03: subject_tags ['education', 'event', 'youth'] → ['Community Organizing', 'Event', 'In-person', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:14:12,804 [INFO] [81/142] f4ab7758-c644-435c-bd6c-f0ce267e1dc4: subject_tags ['community', 'leadership', 'training', 'youth'] → ['Community Organizing', 'Event Planning', 'Hybrid', 'Internship', 'Management', 'Open to All', 'Project Management', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:14:15,722 [INFO] [82/142] c45baf40-c24c-4072-b23e-cd403689233f: subject_tags ['education', 'leadership', 'media'] → ['Community Development', 'Education', 'Event', 'Event Planning', 'In-person', 'Management', 'Open to All', 'Psychology', 'Public Policy', 'Public Speaking', 'Social Work', 'Sociology'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:14:18,544 [INFO] [83/142] 7b66f510-f3c6-4c46-8f10-ae7579345444: subject_tags ['education', 'media', 'training'] → ['Course', 'Film & Media', 'Marketing & Social Media', 'Online', 'Photography & Videography', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:14:21,339 [INFO] [84/142] d6ab379d-cc6d-4ddc-848a-e66b53272d67: subject_tags ['education', 'event', 'seminar'] → ['Education', 'Event', 'In-person', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:14:24,302 [INFO] [85/142] 2f61baf8-c1e2-4ed8-986f-23a08dd26020: subject_tags ['education'] → ['Event', 'In-person', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:14:27,337 [INFO] [86/142] f244a87d-721f-4d56-91d4-612354b6dc7f: subject_tags ['education'] → ['Event', 'In-person', 'Marketing & Social Media', 'Youth (Under 18)'] | target_group ['youth'] → ['Youth (Under 18)']
2026-05-15 14:14:30,033 [INFO] [87/142] 1da4dbab-08f2-478c-8f3b-2dc805a0d248: subject_tags ['competition', 'education', 'scholarship'] → ['Education', 'Event', 'Fellowship', 'Open to All', 'Undergraduate'] | target_group ['university_students'] → ['Undergraduate']
2026-05-15 14:14:32,855 [INFO] [88/142] 38fad048-2121-46a5-9166-be996f65a9b5: subject_tags ['data', 'environment'] → ['Environment & Sustainability', 'Event', 'Marketing & Social Media', 'Online', 'Open to All'] | target_group ['open_to_all'] → ['Open to All']
2026-05-15 14:14:35,999 [INFO] [89/142] bd941e6a-ff3c-4b4b-83f3-20bb73f3d49d: subject_tags ['course', 'education'] → ['Education', 'Event', 'In-person', 'Undergraduate', 'Youth (Under 18)'] | target_group ['university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
2026-05-15 14:14:38,832 [INFO] [90/142] d30a9418-20d4-421f-86c5-e73c2244446c: subject_tags ['education', 'scholarship'] → ['Education', 'Event', 'Fellowship', 'In-person', 'Youth (Under 18)'] | target_group ['cambodians_only', 'youth'] → ['Youth (Under 18)']
2026-05-15 14:14:41,696 [INFO] [91/142] 522e770a-2682-4514-8e00-e20fe3fc342f: subject_tags ['education', 'event'] → ['Education', 'Event', 'In-person', 'Undergraduate', 'Youth (Under 18)'] | target_group ['university_students', 'youth'] → ['Undergraduate', 'Youth (Under 18)']
